"Governorate","Primary_Crop","Secondary_Crop","Tertiary_Crop","Suitability_Score","Main_Factor"
"Cairo","Vegetables","Herbs","Flowers",45,"Urban Agriculture"
"Alexandria","Cotton","Vegetables","Citrus",72,"Mediterranean Climate"
"Bur Sa`id","Rice","Fish Farming","Vegetables",68,"Water Availability"
"Suez","Dates","Medicinal Herbs","Drought Crops",55,"Desert Adaptation"
"Dumyat","Rice","Cotton","Vegetables",85,"Nile Delta Fertility"
"Ad Daqahliyah","Rice","Maize","Cotton",90,"Rich Delta Soil"
"Ash Sharqiyah","Cotton","Wheat","Rice",88,"Delta Agriculture"
"Al Qalyubiyah","Vegetables","Citrus","Cotton",82,"Nile Valley Soil"
"Kafr ash Shaykh","Rice","Cotton","Wheat",87,"Delta Water Supply"
"Al Gharbiyah","Cotton","Rice","Maize",89,"Core Delta Region"
"Al Minufiyah","Cotton","Vegetables","Wheat",84,"Delta Agriculture"
"Al Buhayrah","Rice","Cotton","Wheat",86,"Western Delta Soil"
"Al Isma'iliyah","Citrus","Vegetables","Grapes",70,"Sandy Reclaimed Land"
"Giza","Vegetables","Cotton","Maize",75,"Nile Valley"
"Bani Suwayf","Sugarcane","Wheat","Cotton",78,"Upper Egypt Soil"
"Al Fayyum","Grapes","Olives","Vegetables",80,"Oasis Agriculture"
"Al Minya","Sugarcane","Wheat","Maize",77,"Upper Egypt"
"Asyut","Sugarcane","Wheat","Cotton",74,"Upper Egypt Valley"
"Suhaj","Sugarcane","Wheat","Vegetables",73,"Nile Valley Soil"
"Qina","Sugarcane","Dates","Wheat",71,"Upper Egypt Climate"
"Aswan","Dates","Sugarcane","Tropical Fruits",76,"Tropical Climate"
"Luxor","Sugarcane","Dates","Vegetables",72,"Hot Dry Climate"
"Al Bahr al Ahmar","Dates","Medicinal Herbs","Drought Crops",40,"Desert / Coastal"
"Al Wadi at Jadid","Dates","Olives","Wheat",58,"Oasis Farming"
"Matrouh","Olives","Barley","Dates",60,"Mediterranean Coast"
"Shamal Sina'","Olives","Citrus","Wheat",62,"Sinai Reclaimed Land"
"Janub Sina'","Dates","Medicinal Herbs","Drought Crops",38,"Arid Desert"
